Count,"Location(X,Y,Z)","Orientation(Pitch,Yaw,Roll)"
20,"[173.11996459960938, 330.4596862792969, 38.10904312133789]","[0.004719660617411137, 0.0, -0.004272460471838713]"
40,"[173.11996459960938, 330.4596862792969, 38.10904312133789]","[0.004719660617411137, 0.0, -0.004272460471838713]"
60,"[173.1199188232422, 330.45965576171875, 38.10940933227539]","[0.001072339597158134, 0.0, -0.00012207030522404239]"
80,"[174.8818359375, 330.4595947265625, 38.111427307128906]","[0.9149379134178162, -0.002166748046875, 0.0004491087165661156]"
100,"[180.91470336914062, 330.4595947265625, 38.111263275146484]","[0.8342528939247131, -0.0008544920710846782, 0.0002971156209241599]"
120,"[184.9393310546875, 330.4595947265625, 38.10824966430664]","[-0.6213968992233276, -0.0028686518780887127, -0.00042724606464616954]"
140,"[186.674072265625, 330.4595947265625, 38.10914611816406]","[-0.1940934807062149, -0.00469970703125, -0.00018310546875]"
160,"[187.08030700683594, 330.4595947265625, 38.10945510864258]","[-0.044737737625837326, -0.004913330543786287, -3.051757266803179e-05]"
180,"[187.14663696289062, 330.4595947265625, 38.1095085144043]","[-0.01852347142994404, -0.0050048828125, -3.0517578125e-05]"
200,"[187.14663696289062, 330.4595947265625, 38.1095085144043]","[-0.01852347142994404, -0.0050048828125, -3.0517578125e-05]"
220,"[187.14663696289062, 330.4595947265625, 38.1095085144043]","[-0.01852347142994404, -0.0050048828125, -3.0517578125e-05]"
240,"[187.14663696289062, 330.4595947265625, 38.1095085144043]","[-0.01852347142994404, -0.0050048828125, -3.0517578125e-05]"
260,"[187.9510955810547, 330.4595947265625, 38.111473083496094]","[0.9705015420913696, -0.004791259299963713, 0.0005356745678000152]"
280,"[192.6823272705078, 330.4595947265625, 38.11156463623047]","[0.7635741233825684, -3.0517578125e-05, 0.00012481774319894612]"
300,"[199.69461059570312, 330.45965576171875, 38.11142349243164]","[0.5698699951171875, 0.004211242310702801, -6.103515625e-05]"
320,"[209.1746826171875, 330.46063232421875, 38.11173629760742]","[0.835639476776123, 0.01544955838471651, -0.0008544920710846782]"
340,"[221.61373901367188, 330.4637756347656, 38.10909652709961]","[-0.45525941252708435, 0.01337997056543827, 6.340931577142328e-05]"
360,"[229.29705810546875, 330.46453857421875, 38.111114501953125]","[0.5231651663780212, 0.008077781647443771, -9.1552734375e-05]"
380,"[239.86883544921875, 330.4676208496094, 38.11210250854492]","[1.0198701620101929, 0.024132387712597847, -0.0016784670297056437]"
400,"[253.8310546875, 330.4736633300781, 38.11115264892578]","[0.5503903031349182, 0.031389761716127396, -0.0007019041222520173]"
420,"[269.7790222167969, 330.4835510253906, 38.111488342285156]","[0.7197038531303406, 0.045048315078020096, -0.002288818359375]"
440,"[288.1916198730469, 330.4989013671875, 38.111019134521484]","[0.48667827248573303, 0.05232968553900719, -0.0008850097074173391]"
460,"[307.81689453125, 330.5181579589844, 38.109954833984375]","[-0.03277807682752609, 0.05444345250725746, 0.0010035265004262328]"
480,"[326.35015869140625, 330.53509521484375, 38.11020278930664]","[0.08470799773931503, 0.05157536268234253, 0.0002990365610457957]"
500,"[344.0217590332031, 330.55218505859375, 38.11113357543945]","[0.5434234738349915, 0.05919531360268593, -0.0015258786734193563]"
520,"[362.5997619628906, 330.5725402832031, 38.11081314086914]","[0.3882620930671692, 0.06743327528238297, -0.0011901856632903218]"
540,"[382.6427917480469, 329.40594482421875, 38.11182403564453]","[0.12501294910907745, -23.767436981201172, 7.155812740325928]"
560,"[395.0350646972656, 319.6216735839844, 38.111019134521484]","[-0.06151951104402542, -61.8303337097168, 7.241231441497803]"
580,"[397.6680908203125, 306.3949279785156, 38.16343688964844]","[0.38629499077796936, -91.7087173461914, -0.462738037109375]"
600,"[396.7536315917969, 290.9149475097656, 38.109798431396484]","[0.3844303488731384, -87.96416473388672, -1.942566156387329]"
620,"[397.2977294921875, 274.1213073730469, 38.11133575439453]","[0.6418533325195312, -88.82572174072266, 0.2725990116596222]"
640,"[397.21435546875, 255.12335205078125, 38.11112976074219]","[0.5406367778778076, -93.64605712890625, 1.6035865545272827]"
660,"[396.2802734375, 234.92494201660156, 38.10952377319336]","[-0.2245219647884369, -90.64971160888672, -0.887054443359375]"
680,"[396.0639343261719, 214.95098876953125, 38.11099624633789]","[0.4789738059043884, -90.55181884765625, -0.04754638671875]"
700,"[395.8619689941406, 193.7476348876953, 38.11039352416992]","[0.18395064771175385, -90.5436019897461, -0.0010681096464395523]"
720,"[395.8440856933594, 171.72970581054688, 38.11097717285156]","[0.4863845705986023, -88.92658233642578, -0.5887451171875]"
740,"[396.27178955078125, 148.69577026367188, 38.109310150146484]","[-0.34622228145599365, -88.91265869140625, -0.024719225242733955]"
760,"[396.68975830078125, 126.64505767822266, 38.11084747314453]","[0.4045247733592987, -88.91099548339844, -0.0008545019663870335]"
780,"[397.08795166015625, 103.77249908447266, 38.11017608642578]","[0.040079548954963684, -90.27782440185547, 0.7886742949485779]"
800,"[395.2322998046875, 80.34076690673828, 38.111576080322266]","[0.3933095932006836, -76.54168701171875, -5.912936687469482]"
820,"[398.9402160644531, 61.725067138671875, 38.17632293701172]","[0.01814098097383976, -102.30213165283203, -0.1465453952550888]"
840,"[398.9120178222656, 61.61602020263672, 38.19081115722656]","[-0.5844728946685791, -102.43443298339844, -1.7980958223342896]"
860,"[398.8089294433594, 61.20313262939453, 38.156734466552734]","[-0.12292973697185516, -101.92462921142578, -4.357210159301758]"
880,"[398.8089294433594, 61.20313262939453, 38.156734466552734]","[-0.12292973697185516, -101.92462921142578, -4.357210159301758]"
900,"[398.8089294433594, 61.20313262939453, 38.156734466552734]","[-0.12292973697185516, -101.92462921142578, -4.357210159301758]"
920,"[398.8089294433594, 61.20313262939453, 38.156734466552734]","[-0.12292973697185516, -101.92462921142578, -4.357210159301758]"
940,"[398.8089294433594, 61.20313262939453, 38.156734466552734]","[-0.12292973697185516, -101.92462921142578, -4.357210159301758]"
960,"[398.8089294433594, 61.20313262939453, 38.156734466552734]","[-0.12292973697185516, -101.92462921142578, -4.357210159301758]"
